priority,category,status,control,source_rows,evidence
P0,accessi-privacy,passed,Accesso tramite roaming italiano.,globale:T-0651,"ui-network-india: roaming congestionato verificato sui tre profili mobile | ui-network-india 18/18: roaming congestionato a 256/96 kbps su S20 FE, Samsung vecchio e iPhone piccolo"
P0,accessi-privacy,passed,Accesso tramite SIM indiana.,globale:T-0652,"ui-network-india: SIM indiana 3G verificata sui tre profili mobile | ui-network-india 18/18: SIM indiana 3G su S20 FE, Samsung vecchio e iPhone piccolo"
P0,accessi-privacy,passed,accesso;,globale:T-1555,"ui-password-access touch 1/1: ciclo pubblico, password, profilo personale e riapertura del Gruppo completato su Samsung S20 FE"
P0,accessi-privacy,passed,Aggiungere consenso privacy esplicito.,globale:T-0043,privacy-consent 2/2 + auth-lifecycle 49/49: checkbox inizialmente non selezionata; registrazioni senza consenso o con consenso falso respinte; consenso vero registrato dal server con data/versione; migrazione additiva senza riscrivere profili esistenti
P0,accessi-privacy,passed,Aggiungere elenco dei dispositivi autorizzati.,globale:T-0030,production-smoke: elenco dispositivi include corrente e secondario
P0,accessi-privacy,passed,Aggiungere rinnovo sicuro della sessione.,globale:T-0032,auth-lifecycle 35/35: solo un token ancora valido estende expires_at; token alterato o revocato riceve 401
P0,accessi-privacy,pending,aggiunta successiva di fotografie autorizzate.,globale:T-1369,
P0,accessi-privacy,passed,Apertura documenti autorizzati.,usabilita:U0659,P0 locale documenti 12/12 e concorrenza 18/18: media privata aperta soltanto da proprietario/coordinatore
P0,accessi-privacy,passed,Apertura documento autorizzato.,globale:T-1201,P0 locale documenti: HEAD 200 per proprietario e coordinatore autenticati
P0,accessi-privacy,passed,Apertura invito.,globale:T-1202,"invite-link-privacy 3/3 + auth-lifecycle 61/61: link aperto, claim completato e sessione personale emessa"
P0,accessi-privacy,passed,Aprire contemporaneamente lo stesso invito personale.,globale:T-0791,extended-p0-auth-lifecycle 28/28: due richieste concorrenti producono una sola sessione
P0,accessi-privacy,passed,Aprire contemporaneamente lo stesso invito su due telefoni.,usabilita:U0410,extended-p0-auth-lifecycle 28/28: telefono A o B vince e l’altro riceve 403/409
P0,accessi-privacy,passed,Aprire due volte contemporaneamente lo stesso invito.,globale:T-0774,extended-p0-auth-lifecycle 28/28: consumo atomico dell’invito verificato
P0,accessi-privacy,passed,Aprire il link senza password.,usabilita:U0268,ui-critical produzione mobile: il dominio pubblico apre la Bacheca senza creare una sessione privata
P0,accessi-privacy,passed,Aprire invito sul telefono A.,globale:T-0322,auth-lifecycle 61/61: telefono A e telefono B tentano il claim; uno solo riceve la sessione legata al dispositivo
P0,accessi-privacy,passed,Aprire invito sul telefono corretto.,usabilita:U0404,Authenticated remote QA: 18/18 applicable; preview a018a091; 2026-08-04
P0,accessi-privacy,passed,Aprire la Bacheca con password.,usabilita:U0095,"ui-password-access touch 1/1: dopo verifica della password la Bacheca resta apribile, ma il dispositivo resta Pubblico finché non viene creato il profilo"
P0,accessi-privacy,passed,Aprire la Bacheca senza password.,usabilita:U0093,ui-critical produzione mobile: accesso Pubblico visibile e area privata assente
P0,accessi-privacy,passed,"Aprire la griglia del Coordinatore, se autorizzato.",usabilita:U0072,ui-coordinator-grid touch 1/1 ripetuto due volte: soltanto la sessione coordinatore verificata apre la dashboard documenti
P0,accessi-privacy,passed,Associare i commenti dei Viaggiatori alla sessione personale.,globale:T-0061,QA 1.31.0: commento del viaggiatore attribuito alla sessione e non ai campi del browser
P0,accessi-privacy,passed,Attivazione sessione.,globale:T-1206,"ui-password-access touch 1/1: POST auth/register 201, token e profile-id creati dal server e riletti dopo ricaricamento"
P0,accessi-privacy,passed,Aumento dei tentativi di accesso errati.,globale:T-1539,access-session-boundaries 17/17: dodici password errate attivano 429 senza creare profili
P0,accessi-privacy,passed,Autorizzare GPS.,usabilita:U0235,ui-location touch 1/1: consenso GPS e coordinate Delhi condivise dal profilo autorizzato
P0,accessi-privacy,passed,Autorizzare il microfono.,globale:T-0445;usabilita:U0215,"ui-microphone-permissions touch 1/1: consenso microfono su Samsung S20 FE, avvio e arresto MediaRecorder e allegato audio riproducibile creato localmente"
P0,accessi-privacy,passed,Autorizzare il permesso.,usabilita:U0188,ui-location touch 1/1: grant geolocation abilita la condivisione reale
P0,accessi-privacy,pending,Autorizzare notifiche.,globale:T-0519,
P0,accessi-privacy,passed,autorizzata durante l’uso;,globale:T-1370,ui-location touch 1/1: permesso geolocation limitato al contesto mobile attivo
P0,accessi-privacy,pending,autorizzata sempre;,globale:T-1371,
P0,accessi-privacy,pending,autorizzata una sola volta;,globale:T-1372,
P0,accessi-privacy,passed,autorizzate;,globale:T-1373,ui-location touch 1/1: con permesso concesso API posizione 200 e sincronizzazione visibile
P0,accessi-privacy,passed,autorizzazione negata;,addendum:A0167,ui-location touch 1/1: diniego mostra messaggio e produce zero richieste POST
P0,accessi-privacy,passed,autorizzazioni dei ruoli;,globale:T-1790,P0 locale ruoli 18/18: matrice viaggiatore/coordinatore verificata direttamente sugli endpoint
P0,accessi-privacy,passed,autorizzazioni;,addendum:A0079,Playwright same-device identity switch 5/5; preview 39b1fb83; 2026-08-04
P0,accessi-privacy,passed,Cambiare ruolo e rinnovare la sessione.,addendum:A0342,roles 20/20: promozione e retrocessione sono rilevate dal token già aperto; l’ultimo coordinatore non può essere retrocesso
P0,accessi-privacy,passed,Caricare un PDF protetto da password.,globale:T-0994,"ui-protected-pdf touch 1/1 ripetuto due volte: PDF AES-256 caricato, riconosciuto come protetto, scaricato, visto dal coordinatore ed eliminato"
P0,accessi-privacy,passed,Cercare chiavi private VAPID nel bundle JavaScript.,globale:T-1493,scan-client-secrets: build bloccata se compare VAPID_PRIVATE_KEY nel client | scan-client-secrets eseguito obbligatoriamente dopo ogni build: VAPID_PRIVATE_KEY assente dal bundle
P0,accessi-privacy,passed,Cercare token Cloudflare.,globale:T-1502,repository-secrets e scan-client-secrets: token Cloudflare assenti da file tracciati e bundle | repository-secrets 2/2 e scan-client-secrets: nessun file token tracciato e identificatori token Cloudflare assenti dal client
P0,accessi-privacy,passed,chi può creare un invito non possa automaticamente leggere documenti non autorizzati;,addendum:A0383,"authorization-matrix 66/66 ripetuta due volte: creare invito non cambia profilo o ruolo, non restituisce documenti/sessione e il token invito riceve 401 da /api/private"
P0,accessi-privacy,passed,Chiudere automaticamente i dati privati già mostrati.,addendum:A0104,Playwright live role/revoke 1/1; preview a4b05356; 2026-08-04
P0,accessi-privacy,passed,collegamento di invito già utilizzato;,addendum:A0126,extended-p0-auth-lifecycle 28/28: riuso negato con 403/409
P0,accessi-privacy,passed,Collegare il telefono A tramite invito personale.,globale:T-0696,QA 1.31.0: telefono tecnico collegato tramite invito personale
P0,accessi-privacy,passed,come deve ottenere l’autorizzazione mancante;,addendum:A0433,"ACCESS-DENIAL-MESSAGES + access-state-documentation 2/2: recupero esplicito tramite invito, profilo con consenso, coordinatore o identità ospite"
P0,accessi-privacy,passed,Commento con password.,usabilita:U0296,ui-password-access touch ripetuto due volte: dopo password verificata il Pubblico crea identità ospite server e commento 201; nessuna sessione personale viene concessa
P0,accessi-privacy,passed,Commento senza password.,usabilita:U0295,"Playwright Galaxy S9+ su tre contesti: viaggiatore, familiare e pubblico; identità ospite server, like aggiunto/rimosso, commento creato/modificato/eliminato, sync automatica e comandi proprietà; preview c9d82d89; 2026-08-04"
P0,accessi-privacy,passed,Condividere per errore l’invito del Viaggiatore A con il Viaggiatore B.,globale:T-0775,"ui-invite-misdelivery touch 2/2 ripetuto due volte: sessione B invariata, invito A non consumato e ancora utilizzabile dal destinatario"
P0,accessi-privacy,passed,condizione dopo accesso;,addendum:A0286,ui-role-live touch 2/2: invito attiva profilo e ruolo derivati dalla sessione server
P0,accessi-privacy,passed,condizione quando la sessione è ancora in verifica.,addendum:A0292,Playwright credential precedence 4/4; preview 06eec926; 2026-08-04
P0,accessi-privacy,passed,conferma che nessuna autorizzazione dipenda esclusivamente dal frontend.,addendum:A0482,P0 locale ruoli/documenti/posizione: richieste API falsificate respinte 403 dal Worker
P0,accessi-privacy,passed,confonde password di gruppo e sessione personale;,addendum:A0441,"ui-coordinator-grid touch 1/1: la sola password comune non crea token, non apre /api/private e non mostra la griglia"
P0,accessi-privacy,passed,confrontare tutti i tasti visibili al Coordinatore con gli endpoint accessibili al Coordinatore;,addendum:A0041,endpoint-authorization-inventory 2/2 + ui-endpoint-authorization-alignment 2/2 + authorization-matrix 59/59
P0,accessi-privacy,passed,confrontare tutti i tasti visibili al Familiare con gli endpoint accessibili al Familiare;,addendum:A0039,endpoint-authorization-inventory 2/2 + ui-endpoint-authorization-alignment 2/2 + authorization-matrix 59/59
P0,accessi-privacy,passed,confrontare tutti i tasti visibili al Viaggiatore con gli endpoint accessibili al Viaggiatore;,addendum:A0040,endpoint-authorization-inventory 2/2 + ui-endpoint-authorization-alignment 2/2 + authorization-matrix 59/59
P0,accessi-privacy,passed,confrontare tutti i tasti visibili per il Pubblico con gli endpoint accessibili al Pubblico;,addendum:A0038,endpoint-authorization-inventory 2/2 + ui-endpoint-authorization-alignment 2/2 + authorization-matrix 59/59
P0,accessi-privacy,passed,Consentire creazione di un nuovo invito sicuro.,globale:T-1613,"invite-link-privacy 3/3 + auth-lifecycle 61/61: invito casuale, hash nel database, scadenza 48 ore e uso singolo"
P0,accessi-privacy,pending,Consentire proroga autorizzata della conservazione.,globale:T-1338,
P0,accessi-privacy,passed,CONSENTITO SOLTANTO SE PROPRIETARIO;,addendum:A0023,endpoint-authorization-inventory 2/2 + authorization-matrix 59/59
P0,accessi-privacy,passed,Coordinatore apre documenti autorizzati.,usabilita:U0440,P0 locale documenti: coordinatore apre la chiave privata del documento del viaggiatore
P0,accessi-privacy,passed,"Coordinatore revoca A, A perde accesso immediatamente.",usabilita:U0564,Playwright live role/revoke 1/1; preview a4b05356; 2026-08-04
P0,accessi-privacy,passed,Coordinatore: documenti autorizzati del gruppo.,globale:T-0480,P0 locale documenti: stato privato coordinatore include il documento del gruppo e media accessibile
P0,accessi-privacy,passed,Copia invito.,usabilita:U0657,ui-multi-invite-copy touch 1/1 ripetuto due volte: pulsante Copia link azionato e URL letto realmente dagli appunti del telefono
P0,accessi-privacy,passed,Copiare il token su un altro browser.,globale:T-0757,session-device-binding 2/2 + auth-lifecycle 57/57: token valido con chiave browser diversa o assente restituisce 401
P0,accessi-privacy,passed,Copiare invito.,usabilita:U0378;usabilita:U0403,"ui-multi-invite-copy touch 1/1 ripetuto due volte: tre link distinti copiati, senza query e con token soltanto nel frammento"
P0,accessi-privacy,passed,Copiare token su altro dispositivo.,globale:T-0615,auth-lifecycle 57/57: sessione nuova e sessione precedente dopo il primo binding accettano soltanto la chiave del dispositivo originario
P0,accessi-privacy,passed,Creare due inviti successivi per la stessa persona.,globale:T-0776,"auth-lifecycle 61/61: primo invito creato e revocato, secondo creato separatamente e consumato correttamente"
P0,accessi-privacy,passed,Creare invito per Viaggiatore A.,globale:T-0324,auth-lifecycle 61/61: invito creato per targetProfileId e risposta claim associata allo stesso profilo
P0,accessi-privacy,passed,Creare invito.,usabilita:U0377;usabilita:U0402,Playwright mobile people/roles 1/1; preview 64167f5a; 2026-08-04 | Authenticated remote QA: 18/18 applicable; preview a018a091; 2026-08-04
P0,accessi-privacy,passed,Creare un invito o procedura di trasferimento sicura.,globale:T-1602,"invite-link-privacy 3/3: frammento non inviato al server, rimosso prima del claim; token monouso memorizzato come hash"
P0,accessi-privacy,passed,Creare un invito per ogni Viaggiatore.,globale:T-0777,ui-multi-invite-copy touch 1/1 ripetuto due volte: tre schede diverse producono tre inviti personali distinti
P0,accessi-privacy,passed,creazione invito;,globale:T-0732;globale:T-1218;usabilita:U0656,Playwright mobile people/roles 1/1; preview 64167f5a; 2026-08-04
P0,accessi-privacy,passed,dati privati nella cache.,addendum:A0082,Public-cache unit + delayed-state Playwright 6/6; preview 63b53987; 2026-08-04
P0,accessi-privacy,passed,deve ricevere una sessione Ospite sicura;,usabilita:U0024,guest-session-device-binding 2/2 + authorization-matrix 59/59: token familiare vincolato alla chiave del telefono; chiave assente o differente vede soltanto contenuti pubblici
P0,accessi-privacy,passed,diagramma degli stati di accesso;,addendum:A0466,CREDENTIAL-STATE-MACHINE 1.41.0 + access-state-documentation 2/2: diagramma Mermaid e precedenza sessione/ruolo/profilo verificati contro il client
P0,accessi-privacy,pending,dispositivo o sessione;,globale:T-1558,
P0,accessi-privacy,pending,"Distinguere limiti per IP, sessione e profilo.",globale:T-1053,
P0,accessi-privacy,passed,Divieto di leggere un post privato modificando direttamente l’URL.,globale:T-0067,QA 1.31.0: ospite e altro viaggiatore non leggono ne interagiscono col post privato
P0,accessi-privacy,passed,"Documenti privati con private, no-store.",globale:T-1473,"security-surface L1: risposte private impostano Cache-Control private, no-store"
P0,accessi-privacy,passed,documento non autorizzato;,usabilita:U0498,authorization-matrix 55/55: HEAD del PDF privato restituisce 403 senza sessione e con sessione di altro viaggiatore
P0,accessi-privacy,passed,documento privato;,addendum:A0125,authorization-matrix 55/55: documento reale in storage temporaneo visibile soltanto a proprietario e coordinatore
P0,accessi-privacy,passed,è nascosto o disabilitato per il ruolo non autorizzato;,usabilita:U0668,ui-endpoint-authorization-alignment 2/2 + authorization-matrix 59/59
P0,accessi-privacy,passed,elenco dei controlli di proprietà;,addendum:A0469,API-AUTHORIZATION-INVENTORY: 38 rotte esatte e 5 rotte dinamiche classificate
P0,accessi-privacy,passed,elenco dei messaggi di autorizzazione negata;,addendum:A0472,ACCESS-DENIAL-MESSAGES + access-state-documentation 2/2: 17 dinieghi confrontati letteralmente col Worker e collegati al recupero UI
P0,accessi-privacy,passed,"Eliminando un profilo, gestire documenti, posizioni, sessioni e inviti.",globale:T-1011,"profile-deletion locale 40/40 + QA live 17/17: cascata reale verificata su documenti, posizione, sessione, invito e stato condiviso"
P0,accessi-privacy,passed,Eliminare il profilo associato a una sessione attiva.,globale:T-0758,profile-deletion locale 40/40 + QA live 17/17: eliminazione dal dispositivo proprietario e sessione immediatamente respinta con 401
P0,accessi-privacy,passed,Eliminare inviti scaduti.,globale:T-1347,"extended-p0-auth-lifecycle: invito scaduto inserito in D1 locale e rimosso da health | extended-p0-auth-lifecycle 44/44: invito scaduto inserito in D1 locale isolato, health rimuove almeno una riga, claim successivo 403"
P0,accessi-privacy,passed,Eliminare l’endpoint che trasforma il codice comune in una sessione per un profilo scelto.,globale:T-0034,authorization-matrix 59/59: auth/unlock con password corretta restituisce 403 e non emette sessione
P0,accessi-privacy,passed,Eliminare sessioni scadute.,globale:T-1348,"extended-p0-auth-lifecycle: sessione scaduta inserita in D1 locale e rimozione contata da health | extended-p0-auth-lifecycle 44/44: sessione scaduta inserita in D1 locale isolato, health rimuove almeno una riga, sessione successiva 401"
P0,accessi-privacy,passed,endpoint autorizzati;,addendum:A0048,authorization-matrix 55/55: richieste HTTP reali confermano i confini server per tutte le risorse sensibili della matrice
P0,accessi-privacy,passed,entrare con un invito;,globale:T-1774,auth-lifecycle 61/61: claim valido restituisce sessione e profilo corretto
P0,accessi-privacy,passed,Eseguire logout e nuovo accesso.,addendum:A0340,auth-lifecycle 68/68: logout invalida il token e un nuovo invito emette una nuova sessione
P0,accessi-privacy,passed,esiste una matrice autorizzativa approvata;,addendum:A0444,AUTHORIZATION-MATRIX + endpoint-authorization-inventory 2/2
P0,accessi-privacy,passed,etichetta di accesso mostrata;,addendum:A0043,access-state-documentation 2/2 + ui-multi-invite-copy: Pubblico senza sessione e nome del profilo soltanto dopo conferma server
P0,accessi-privacy,passed,Familiare: nessun accesso.,globale:T-0482,resource-enumeration 17/17: sessione familiare riceve lo stesso diniego del pubblico su area e media private
P0,accessi-privacy,passed,gli URL diretti rispettano le autorizzazioni;,addendum:A0454,"ui-critical produzione: richieste dirette a private, devices, locations e documents negate senza sessione"
P0,accessi-privacy,passed,i dati dei profili rispettano la privacy;,globale:T-0673,authorization-matrix 55/55 + security-surface: stato pubblico ridotto e metadati privacy_consent_at/version assenti anche nello stato autenticato
P0,accessi-privacy,passed,il Coordinatore è autorizzato lato server;,globale:T-0675,P0 locale ruoli 18/18: promozione live abilita inviti e retrocessione li nega immediatamente
P0,accessi-privacy,passed,il server deve autorizzare la richiesta;,addendum:A0029,Authenticated remote QA + mobile publication; preview a018a091; 2026-08-04
P0,accessi-privacy,passed,Il sistema deve bloccare la pubblicazione oppure richiedere l’accesso.,usabilita:U0474,"Playwright mobile: loading held, disabled state, duplicate click, HTTP 201, confirmation; preview 9393a1aa"
P0,accessi-privacy,passed,Impedire che il testo di un post privato compaia nella notifica di utenti non autorizzati.,globale:T-0069,"push-audience 5/5: un post privato non produce notifiche per pubblico, familiari o altri viaggiatori"
P0,accessi-privacy,passed,Impedire il riutilizzo di una sessione rubata.,globale:T-0036,auth-lifecycle 57/57: il bearer token copiato non è sufficiente; il server confronta l’hash della chiave dispositivo e nega chiave mancante o differente
P0,accessi-privacy,passed,impossibilità di aprire documenti prima della verifica della sessione;,addendum:A0318,Playwright credential precedence 4/4; preview 06eec926; 2026-08-04
P0,accessi-privacy,passed,impossibilità di utilizzare il ruolo conservato localmente come autorizzazione;,addendum:A0319,Playwright credential precedence 4/4; preview 06eec926; 2026-08-04
P0,accessi-privacy,passed,Impossibilità di vedere documenti e posizioni private.,globale:T-1219,ui-critical produzione: pubblico senza sessione non vede UI privata e gli endpoint sono negati
P0,accessi-privacy,passed,Individuare la sessione del telefono smarrito.,globale:T-1614,extended-p0-auth-lifecycle 28/28: elenco dispositivi identifica quello corrente e il secondo telefono tramite device_id
P0,accessi-privacy,passed,Inserire la password corretta.,usabilita:U0009,ui-password-access touch 1/1: password QA corretta apre esclusivamente il modulo di registrazione
P0,accessi-privacy,passed,Inserire password corretta.,usabilita:U0041;usabilita:U0625,ui-password-access touch 1/1: password QA corretta verificata tramite gesto touch e risposta server
P0,accessi-privacy,passed,Inserire password errata.,usabilita:U0043,ui-critical produzione mobile: codice-sbagliato mostra Codice non corretto e resta Pubblico
P0,accessi-privacy,passed,Inserire spazi prima e dopo la password.,usabilita:U0047,"ui-password-access touch 1/1: spazi esterni rimossi dal client, password verificata senza alterare il valore interno"
P0,accessi-privacy,passed,Invio della notifica agli utenti autorizzati.,usabilita:U0165,"push-audience 5/5: family raggiunge ospiti/profili, group soltanto profili, private nessun non proprietario"
P0,accessi-privacy,passed,invito creato;,globale:T-1566,"auth-lifecycle 61/61: creazione restituisce 201, identificativo hash e token casuale"
P0,accessi-privacy,passed,invito già utilizzato.,usabilita:U0513,extended-p0-auth-lifecycle 28/28: riuso negato dal server
P0,accessi-privacy,passed,invito scaduto;,usabilita:U0512,extended-p0-auth-lifecycle 28/28: invito scaduto negato con HTTP 403
P0,accessi-privacy,passed,invito utilizzato;,globale:T-1567,QA 1.31.0: invito gia utilizzato non puo essere riutilizzato
P0,accessi-privacy,passed,L’autore deve derivare dalla sessione personale.,usabilita:U0167,Playwright mobile UI + HTTP 201 + production-smoke identity; preview 4bc152c6; 2026-08-04
P0,accessi-privacy,passed,l’identità della sessione prevale sui dati locali;,addendum:A0450,Authenticated remote QA + mobile publication; preview a018a091; 2026-08-04
P0,accessi-privacy,passed,l’identità server della sessione prevale sempre sui dati modificabili del browser;,addendum:A0059,Authenticated remote QA + mobile publication; preview a018a091; 2026-08-04
P0,accessi-privacy,passed,l’URL pubblico non deve contenere token;,addendum:A0283,invite-link-privacy 3/3: i nuovi link usano #invite e la query inviata al server non contiene il token
P0,accessi-privacy,passed,la gestione dei contenuti sia separata dalla gestione delle sessioni;,addendum:A0382,"ui-people touch 1/1: creazione, modifica e apertura documenti altrui non sostituiscono più profile-id, nome o ruolo della sessione coordinatore"
P0,accessi-privacy,passed,la password comune non aumenta i privilegi di una sessione personale;,addendum:A0063,Playwright credential precedence 4/4; preview 06eec926; 2026-08-04
P0,accessi-privacy,passed,la password comune non permette impersonazioni;,addendum:A0449,"authorization-matrix 55/55 + roles 20/20: auth/unlock non crea sessioni; autore, profilo e ruolo derivano sempre dal token server"
P0,accessi-privacy,passed,la password del gruppo non dia privilegi da Viaggiatore;,addendum:A0377,"authorization-matrix 55/55: la sola password riceve 401/403 su area privata, commenti, reazioni e notifica globale; serve una sessione personale"
P0,accessi-privacy,passed,la password risulta corretta ma Pubblica restituisce errore;,usabilita:U0687,"ui-password-access touch 1/1 ripetuto due volte: password, registrazione, refresh e POST pubblicazione 201 con post visibile"
P0,accessi-privacy,passed,Lasciare la sessione inattiva fino alla scadenza prevista.,globale:T-0761,QA 1.31.0: scadenza per inattivita simulata e verificata
P0,accessi-privacy,passed,Limitazione dell’accesso alle persone autorizzate.,globale:T-0210,"authorization-matrix 55/55: matrice reale pubblico/ospite/viaggiatore/proprietario/coordinatore verificata su post, profili, documenti, posizioni e notifiche"
P0,accessi-privacy,passed,Memorizzare un vecchio token prima dell’accesso.,addendum:A0336,"session-token-rotation 2/2 + auth-lifecycle 61/61: il test conserva il token precedente, rinnova la sessione e ne verifica separatamente lo stato"
P0,accessi-privacy,passed,Modalità privata del browser.,globale:T-1094,"ui-private-browser-session touch 1/1: sessione confinata al contesto privato; dopo la chiusura il nuovo contesto è Pubblico, senza credenziali e con area privata 401"
P0,accessi-privacy,passed,Modificare token.,globale:T-0623,access-session-boundaries 17/17 + auth-lifecycle 68/68: token alterato restituisce 401
P0,accessi-privacy,passed,Modificare un carattere dell’invito.,globale:T-0778,extended-p0-auth-lifecycle 28/28: invito alterato negato con HTTP 403
P0,accessi-privacy,passed,Modificare un solo carattere del token.,globale:T-0762,extended-p0-auth-lifecycle 28/28: sessione alterata negata con HTTP 401
P0,accessi-privacy,passed,Nessun accesso.,usabilita:U0476,resource-enumeration 17/17: pubblico senza sessione non apre area privata e non distingue risorse esistenti
P0,accessi-privacy,pending,Nessun documento privato inserito senza consenso.,globale:T-1722,
P0,accessi-privacy,passed,Nessun documento privato nei risultati pubblici.,globale:T-1692,production-smoke: stato pubblico non espone documenti; /api/private senza sessione risponde 401
P0,accessi-privacy,passed,nessun endpoint operativo sia privo di controllo delle autorizzazioni.,addendum:A0020,endpoint-authorization-inventory 2/2: 38 rotte esatte e 5 dinamiche classificate
P0,accessi-privacy,passed,Nessun token negli URL.,globale:T-1479,invite-link-privacy 3/3: token confinato nel frammento e rimosso immediatamente con history.replaceState
P0,accessi-privacy,pending,nessun token;,globale:T-1570,
P0,accessi-privacy,passed,nessun utilizzo di autorizzazioni precedenti;,addendum:A0333,Authenticated remote QA + mobile publication; preview a018a091; 2026-08-04
P0,accessi-privacy,passed,nessuna estensione automatica del pubblico autorizzato.,addendum:A0375,authorization-matrix 55/55: una sessione ospite aggiunge solo family; una sessione gruppo non aggiunge private altrui
P0,accessi-privacy,passed,nessuna informazione sull’esistenza di risorse non autorizzate.,addendum:A0335,"resource-enumeration 17/17: documento, invito e dispositivo reali producono lo stesso diniego delle rispettive risorse inesistenti"
P0,accessi-privacy,passed,Nessuna pagina privata incorporabile in siti esterni.,globale:T-1480,production-smoke live: X-Frame-Options SAMEORIGIN e CSP frame-ancestors self sul documento HTML
P0,accessi-privacy,pending,nessuna password.,globale:T-1571,
P0,accessi-privacy,passed,Nessuna sessione.,usabilita:U0478,ui-critical produzione mobile: senza sessione /api/private e /api/auth/devices rispondono 401
P0,accessi-privacy,passed,nessuna visualizzazione momentanea di dati privati;,addendum:A0137,"ui-coordinator-grid touch 1/1: MutationObserver registra zero apparizioni della griglia su pubblico, sola password e viaggiatore"
P0,accessi-privacy,passed,Non accettare token impostati manualmente dal client.,addendum:A0344,Playwright false-token removal + remote session QA; preview a4b05356; 2026-08-04
P0,accessi-privacy,passed,Non consentire alla password comune di impersonare un Viaggiatore esistente.,usabilita:U0005,authorization-matrix 55/55: auth/unlock con password corretta restituisce 403 e richiede l’invito personale monouso
P0,accessi-privacy,passed,Non creare inviti.,usabilita:U0369,Playwright mobile people/roles 1/1; preview 64167f5a; 2026-08-04
P0,accessi-privacy,passed,non deve cancellare la sessione personale;,addendum:A0276,"ui-invite-misdelivery touch 2/2: apertura di un invito altrui conserva token, profilo e ruolo della sessione valida"
P0,accessi-privacy,passed,non deve consentire operazioni private mentre è attiva;,addendum:A0278,security-surface 18/18 + ui-coordinator-grid touch: nessuna anteprima client attivabile; il contesto Pubblico riceve 401 dall’area privata
P0,accessi-privacy,passed,non deve contenere password;,addendum:A0421,security-surface L1: codice gruppo assente dal bundle client e verificato solo contro il secret server
P0,accessi-privacy,passed,non deve contenere token;,addendum:A0422,security-surface L1: token di sessione/invito non incorporati nel bundle client
P0,accessi-privacy,passed,"non deve vedere posizioni, salvo autorizzazione esplicita;",usabilita:U0028,authorization-matrix 55/55 + location 10/10: area posizioni restituisce 401 a pubblico/ospite/password; una sessione gruppo vede e modifica soltanto la propria
P0,accessi-privacy,passed,Non inserire token in query string.,addendum:A0346,Playwright invite URL cleanup and persisted session without URL token; preview a4b05356; 2026-08-04
P0,accessi-privacy,passed,Non lasciare documenti privati nella cache.,globale:T-1623,public-cache e security-surface L1: Service Worker esclude dati privati e API private sono no-store
P0,accessi-privacy,passed,non mostrare temporaneamente documenti prima del controllo della sessione;,addendum:A0294,Playwright credential precedence 4/4; preview 06eec926; 2026-08-04
P0,accessi-privacy,passed,Non mostrare testo di post riservati a utenti non autorizzati.,globale:T-1356,push-audience 5/5 e production-smoke: feed e notifiche filtrano i contenuti per visibilità
