"id","section","control","status","evidence","revision"
"U0061","4. CONTROLLO DELLA BARRA SUPERIORE","Verificare stato letto/non letto.","pending","","1.31.0"
"U0062","4. CONTROLLO DELLA BARRA SUPERIORE","Attivare notifiche.","pending","","1.31.0"
"U0063","4. CONTROLLO DELLA BARRA SUPERIORE","Negare notifiche.","pending","","1.31.0"
"U0064","4. CONTROLLO DELLA BARRA SUPERIORE","Riprovare dopo autorizzazione dalle impostazioni.","pending","","1.31.0"
"U0065","4. CONTROLLO DELLA BARRA SUPERIORE","Aprire una notifica.","pending","","1.31.0"
"U0066","4. CONTROLLO DELLA BARRA SUPERIORE","Verificare apertura del contenuto preciso.","pending","","1.31.0"
"U0067","4. CONTROLLO DELLA BARRA SUPERIORE","Aprire il pannello personale.","pending","","1.31.0"
"U0068","4. CONTROLLO DELLA BARRA SUPERIORE","Verificare identità mostrata.","pending","","1.31.0"
"U0069","4. CONTROLLO DELLA BARRA SUPERIORE","Verificare ruolo mostrato.","pending","","1.31.0"
"U0070","4. CONTROLLO DELLA BARRA SUPERIORE","Aprire il proprio profilo.","pending","","1.31.0"
"U0071","4. CONTROLLO DELLA BARRA SUPERIORE","Aprire documenti.","pending","","1.31.0"
"U0072","4. CONTROLLO DELLA BARRA SUPERIORE","Aprire la griglia del Coordinatore, se autorizzato.","pending","","1.31.0"
"U0073","4. CONTROLLO DELLA BARRA SUPERIORE","Condividere la posizione.","pending","","1.31.0"
"U0074","4. CONTROLLO DELLA BARRA SUPERIORE","Cancellare la posizione.","pending","","1.31.0"
"U0075","4. CONTROLLO DELLA BARRA SUPERIORE","Eseguire logout.","pending","","1.31.0"
"U0076","4. CONTROLLO DELLA BARRA SUPERIORE","Verificare che ogni comando appartenga al profilo corretto.","pending","","1.31.0"
"U0077","5. CONTROLLO DELLA BARRA INFERIORE","Bacheca.","passed","Playwright Galaxy S9+ reale: touch fisico, 14 giornate, persistenza, 14 ricollocazioni mappa, marker Delhi 1/8 e Ranakpur; pubblicazione HTTP 201 senza duplicati; preview 9913ac2c; 2026-08-04","1.31.0"
"U0078","5. CONTROLLO DELLA BARRA INFERIORE","Viaggio.","passed","Playwright Galaxy S9+ reale: touch fisico, 14 giornate, persistenza, 14 ricollocazioni mappa, marker Delhi 1/8 e Ranakpur; pubblicazione HTTP 201 senza duplicati; preview 9913ac2c; 2026-08-04","1.31.0"
"U0079","5. CONTROLLO DELLA BARRA INFERIORE","Pubblica.","passed","Playwright mobile UI + HTTP 201 + production-smoke identity; preview 4bc152c6; 2026-08-04","1.31.0"
"U0080","5. CONTROLLO DELLA BARRA INFERIORE","Mappa.","passed","Playwright Galaxy S9+ reale: touch fisico, 14 giornate, persistenza, 14 ricollocazioni mappa, marker Delhi 1/8 e Ranakpur; pubblicazione HTTP 201 senza duplicati; preview 9913ac2c; 2026-08-04","1.31.0"
"U0081","5. CONTROLLO DELLA BARRA INFERIORE","Gruppo.","passed","Playwright Galaxy S9+ reale: touch fisico, 14 giornate, persistenza, 14 ricollocazioni mappa, marker Delhi 1/8 e Ranakpur; pubblicazione HTTP 201 senza duplicati; preview 9913ac2c; 2026-08-04","1.31.0"
"U0082","5. CONTROLLO DELLA BARRA INFERIORE","toccare una volta;","passed","Playwright Galaxy S9+ reale: touch fisico, 14 giornate, persistenza, 14 ricollocazioni mappa, marker Delhi 1/8 e Ranakpur; pubblicazione HTTP 201 senza duplicati; preview 9913ac2c; 2026-08-04","1.31.0"
"U0083","5. CONTROLLO DELLA BARRA INFERIORE","toccare rapidamente due volte;","pending","","1.31.0"
"U0084","5. CONTROLLO DELLA BARRA INFERIORE","toccare durante un caricamento;","pending","","1.31.0"
"U0085","5. CONTROLLO DELLA BARRA INFERIORE","toccare con rete lenta;","pending","","1.31.0"
"U0086","5. CONTROLLO DELLA BARRA INFERIORE","toccare senza rete;","pending","","1.31.0"
"U0087","5. CONTROLLO DELLA BARRA INFERIORE","verificare schermata corretta;","passed","Playwright Galaxy S9+ reale: touch fisico, 14 giornate, persistenza, 14 ricollocazioni mappa, marker Delhi 1/8 e Ranakpur; pubblicazione HTTP 201 senza duplicati; preview 9913ac2c; 2026-08-04","1.31.0"
"U0088","5. CONTROLLO DELLA BARRA INFERIORE","verificare evidenziazione del pulsante attivo;","passed","Playwright Galaxy S9+ reale: touch fisico, 14 giornate, persistenza, 14 ricollocazioni mappa, marker Delhi 1/8 e Ranakpur; pubblicazione HTTP 201 senza duplicati; preview 9913ac2c; 2026-08-04","1.31.0"
"U0089","5. CONTROLLO DELLA BARRA INFERIORE","verificare assenza di schermata bianca;","passed","Playwright Galaxy S9+ reale: touch fisico, 14 giornate, persistenza, 14 ricollocazioni mappa, marker Delhi 1/8 e Ranakpur; pubblicazione HTTP 201 senza duplicati; preview 9913ac2c; 2026-08-04","1.31.0"
"U0090","5. CONTROLLO DELLA BARRA INFERIORE","verificare assenza di sovrapposizioni;","passed","Playwright Galaxy S9+ reale: touch fisico, 14 giornate, persistenza, 14 ricollocazioni mappa, marker Delhi 1/8 e Ranakpur; pubblicazione HTTP 201 senza duplicati; preview 9913ac2c; 2026-08-04","1.31.0"
"U0091","5. CONTROLLO DELLA BARRA INFERIORE","verificare mantenimento dello stato tornando indietro;","pending","","1.31.0"
"U0092","5. CONTROLLO DELLA BARRA INFERIORE","verificare che il tasto Indietro del telefono non chiuda l’app inaspettatamente.","pending","","1.31.0"
"U0093","6. TEST DEL PULSANTE BACHECA","Aprire la Bacheca senza password.","pending","","1.31.0"
"U0094","6. TEST DEL PULSANTE BACHECA","Verificare soltanto contenuti pubblici.","pending","","1.31.0"
"U0095","6. TEST DEL PULSANTE BACHECA","Aprire la Bacheca con password.","pending","","1.31.0"
"U0096","6. TEST DEL PULSANTE BACHECA","Verificare contenuti autorizzati.","pending","","1.31.0"
"U0097","6. TEST DEL PULSANTE BACHECA","Aprire la Bacheca come Viaggiatore.","pending","","1.31.0"
"U0098","6. TEST DEL PULSANTE BACHECA","Aprire la Bacheca come Coordinatore.","pending","","1.31.0"
"U0099","6. TEST DEL PULSANTE BACHECA","Verificare ordinamento cronologico.","pending","","1.31.0"
"U0100","6. TEST DEL PULSANTE BACHECA","Verificare autore.","pending","","1.31.0"
"U0101","6. TEST DEL PULSANTE BACHECA","Verificare data e ora.","pending","","1.31.0"
"U0102","6. TEST DEL PULSANTE BACHECA","Verificare giornata associata.","pending","","1.31.0"
"U0103","6. TEST DEL PULSANTE BACHECA","Verificare luogo.","pending","","1.31.0"
"U0104","6. TEST DEL PULSANTE BACHECA","Verificare fotografie.","pending","","1.31.0"
"U0105","6. TEST DEL PULSANTE BACHECA","Verificare video.","pending","","1.31.0"
"U0106","6. TEST DEL PULSANTE BACHECA","Verificare audio.","pending","","1.31.0"
"U0107","6. TEST DEL PULSANTE BACHECA","Verificare carosello.","pending","","1.31.0"
"U0108","6. TEST DEL PULSANTE BACHECA","Verificare testo lungo.","pending","","1.31.0"
"U0109","6. TEST DEL PULSANTE BACHECA","Verificare aggiornamento automatico.","pending","","1.31.0"
"U0110","6. TEST DEL PULSANTE BACHECA","Verificare che l’aggiornamento non sposti la lettura.","pending","","1.31.0"
"U0111","6. TEST DEL PULSANTE BACHECA","Verificare che l’aggiornamento non chiuda i commenti.","pending","","1.31.0"
"U0112","6. TEST DEL PULSANTE BACHECA","Verificare che l’aggiornamento non chiuda la tastiera.","pending","","1.31.0"
"U0113","7. FILTRI DELLA BACHECA","Tutti.","pending","","1.31.0"
"U0114","7. FILTRI DELLA BACHECA","Prima del viaggio.","pending","","1.31.0"
"U0115","7. FILTRI DELLA BACHECA","Oggi.","pending","","1.31.0"
"U0116","7. FILTRI DELLA BACHECA","Testo.","pending","","1.31.0"
"U0117","7. FILTRI DELLA BACHECA","Fotografie.","pending","","1.31.0"
"U0118","7. FILTRI DELLA BACHECA","Video.","pending","","1.31.0"
"U0119","7. FILTRI DELLA BACHECA","Audio.","pending","","1.31.0"
"U0120","7. FILTRI DELLA BACHECA","Contenuti misti.","pending","","1.31.0"
"U0121","7. FILTRI DELLA BACHECA","verificare contenuti corretti;","pending","","1.31.0"
"U0122","7. FILTRI DELLA BACHECA","verificare nessun contenuto errato;","pending","","1.31.0"
"U0123","7. FILTRI DELLA BACHECA","pubblicare un nuovo contenuto durante il filtro;","pending","","1.31.0"
"U0124","7. FILTRI DELLA BACHECA","verificare se deve comparire;","pending","","1.31.0"
"U0125","7. FILTRI DELLA BACHECA","uscire dalla Bacheca;","pending","","1.31.0"
"U0126","7. FILTRI DELLA BACHECA","tornare alla Bacheca;","pending","","1.31.0"
"U0127","7. FILTRI DELLA BACHECA","verificare mantenimento del filtro;","pending","","1.31.0"
"U0128","7. FILTRI DELLA BACHECA","ricaricare la pagina;","pending","","1.31.0"
"U0129","7. FILTRI DELLA BACHECA","verificare comportamento previsto;","pending","","1.31.0"
"U0130","7. FILTRI DELLA BACHECA","verificare messaggio quando non esistono risultati.","pending","","1.31.0"
"U0131","8. TEST DEL PULSANTE PUBBLICA","Toccare Pubblica.","passed","Playwright mobile UI + HTTP 201 + production-smoke identity; preview 4bc152c6; 2026-08-04","1.31.0"
"U0132","8. TEST DEL PULSANTE PUBBLICA","Verificare apertura del compositore.","pending","","1.31.0"
"U0133","8. TEST DEL PULSANTE PUBBLICA","Verificare autore corretto.","pending","","1.31.0"
"U0134","8. TEST DEL PULSANTE PUBBLICA","Verificare giornata corretta.","pending","","1.31.0"
"U0135","8. TEST DEL PULSANTE PUBBLICA","Verificare pulsante Chiudi/Annulla.","pending","","1.31.0"
"U0136","8. TEST DEL PULSANTE PUBBLICA","Chiudere senza contenuti.","pending","","1.31.0"
"U0137","8. TEST DEL PULSANTE PUBBLICA","Scrivere testo e chiudere.","pending","","1.31.0"
"U0138","8. TEST DEL PULSANTE PUBBLICA","Verificare conservazione della bozza.","passed","Playwright Galaxy S9+ reale: touch fisico, 14 giornate, persistenza, 14 ricollocazioni mappa, marker Delhi 1/8 e Ranakpur; pubblicazione HTTP 201 senza duplicati; preview 9913ac2c; 2026-08-04","1.31.0"
"U0139","8. TEST DEL PULSANTE PUBBLICA","Selezionare allegati e chiudere.","pending","","1.31.0"
"U0140","8. TEST DEL PULSANTE PUBBLICA","Verificare conservazione degli allegati.","pending","","1.31.0"
"U0141","8. TEST DEL PULSANTE PUBBLICA","Solo testo.","passed","Playwright mobile UI + HTTP 201 + production-smoke identity; preview 4bc152c6; 2026-08-04","1.31.0"
"U0142","8. TEST DEL PULSANTE PUBBLICA","Solo fotografia.","pending","","1.31.0"
"U0143","8. TEST DEL PULSANTE PUBBLICA","Solo video.","pending","","1.31.0"
"U0144","8. TEST DEL PULSANTE PUBBLICA","Solo audio.","pending","","1.31.0"
"U0145","8. TEST DEL PULSANTE PUBBLICA","Testo e fotografia.","pending","","1.31.0"
"U0146","8. TEST DEL PULSANTE PUBBLICA","Testo e video.","pending","","1.31.0"
"U0147","8. TEST DEL PULSANTE PUBBLICA","Testo e audio.","pending","","1.31.0"
"U0148","8. TEST DEL PULSANTE PUBBLICA","Fotografie e video.","pending","","1.31.0"
"U0149","8. TEST DEL PULSANTE PUBBLICA","Fotografie, video e audio.","pending","","1.31.0"
"U0150","8. TEST DEL PULSANTE PUBBLICA","Dieci allegati.","pending","","1.31.0"
"U0151","8. TEST DEL PULSANTE PUBBLICA","Undici allegati.","pending","","1.31.0"
"U0152","8. TEST DEL PULSANTE PUBBLICA","File oltre il limite.","pending","","1.31.0"
"U0153","8. TEST DEL PULSANTE PUBBLICA","Testo molto lungo.","pending","","1.31.0"
"U0154","8. TEST DEL PULSANTE PUBBLICA","Emoji.","pending","","1.31.0"
"U0155","8. TEST DEL PULSANTE PUBBLICA","Testo in hindi.","pending","","1.31.0"
"U0156","8. TEST DEL PULSANTE PUBBLICA","Nessun contenuto.","pending","","1.31.0"
"U0157","8. TEST DEL PULSANTE PUBBLICA","Pulsante Pubblica disabilitato se non esiste alcun contenuto.","passed","Playwright mobile: loading held, disabled state, duplicate click, HTTP 201, confirmation; preview 9393a1aa","1.31.0"
"U0158","8. TEST DEL PULSANTE PUBBLICA","Pulsante Pubblica disabilitato durante l’invio.","passed","Playwright mobile: loading held, disabled state, duplicate click, HTTP 201, confirmation; preview 9393a1aa","1.31.0"
"U0159","8. TEST DEL PULSANTE PUBBLICA","Un doppio tocco non crea due post.","passed","Playwright mobile: loading held, disabled state, duplicate click, HTTP 201, confirmation; preview 9393a1aa","1.31.0"
"U0160","8. TEST DEL PULSANTE PUBBLICA","Messaggio “Pubblicazione in corso”.","passed","Playwright mobile: loading held, disabled state, duplicate click, HTTP 201, confirmation; preview 9393a1aa","1.31.0"
"U0161","8. TEST DEL PULSANTE PUBBLICA","Messaggio “Pubblicazione riuscita”.","passed","Playwright mobile: loading held, disabled state, duplicate click, HTTP 201, confirmation; preview 9393a1aa","1.31.0"
"U0162","8. TEST DEL PULSANTE PUBBLICA","Chiusura del compositore soltanto dopo conferma del server.","passed","Playwright mobile: loading held, disabled state, duplicate click, HTTP 201, confirmation; preview 9393a1aa","1.31.0"
"U0163","8. TEST DEL PULSANTE PUBBLICA","Comparsa del post nel feed.","passed","Playwright mobile: loading held, disabled state, duplicate click, HTTP 201, confirmation; preview 9393a1aa","1.31.0"
"U0164","8. TEST DEL PULSANTE PUBBLICA","Aggiornamento sul secondo telefono.","pending","","1.31.0"
"U0165","8. TEST DEL PULSANTE PUBBLICA","Invio della notifica agli utenti autorizzati.","pending","","1.31.0"
"U0166","8. TEST DEL PULSANTE PUBBLICA","Cancellazione della bozza soltanto dopo pubblicazione riuscita.","pending","","1.31.0"
"U0167","9. CONTROLLO DEL CAMPO AUTORE","L’autore deve derivare dalla sessione personale.","passed","Playwright mobile UI + HTTP 201 + production-smoke identity; preview 4bc152c6; 2026-08-04","1.31.0"
"U0168","9. CONTROLLO DEL CAMPO AUTORE","Il Viaggiatore non deve poter scrivere il nome di un’altra persona.","pending","","1.31.0"
"U0169","9. CONTROLLO DEL CAMPO AUTORE","Il Familiare deve avere un’identità Ospite controllata.","passed","Playwright Galaxy S9+ su tre contesti: viaggiatore, familiare e pubblico; identità ospite server, like aggiunto/rimosso, commento creato/modificato/eliminato, sync automatica e comandi proprietà; preview c9d82d89; 2026-08-04","1.31.0"
"U0170","9. CONTROLLO DEL CAMPO AUTORE","Il Coordinatore non deve pubblicare accidentalmente come altro profilo.","pending","","1.31.0"
"U0171","9. CONTROLLO DEL CAMPO AUTORE","Modificare localStorage con il nome di un altro Viaggiatore.","pending","","1.31.0"
"U0172","9. CONTROLLO DEL CAMPO AUTORE","Verificare che il server utilizzi l’identità della sessione.","passed","Playwright mobile UI + HTTP 201 + production-smoke identity; preview 4bc152c6; 2026-08-04","1.31.0"
"U0173","9. CONTROLLO DEL CAMPO AUTORE","Modificare profile_id nella richiesta.","pending","","1.31.0"
"U0174","9. CONTROLLO DEL CAMPO AUTORE","Verificare che il server lo ignori o lo rifiuti.","pending","","1.31.0"
"U0175","9. CONTROLLO DEL CAMPO AUTORE","Controllare author_name e profile_id nel database.","pending","","1.31.0"
"U0176","10. CONTROLLO DELLA GIORNATA DEL POST","Selezionare ogni giornata dal 10 al 23 agosto.","pending","","1.31.0"
"U0177","10. CONTROLLO DELLA GIORNATA DEL POST","Pubblicare un post per ogni giornata.","pending","","1.31.0"
"U0178","10. CONTROLLO DELLA GIORNATA DEL POST","Verificare day_index nel database.","pending","","1.31.0"
"U0179","10. CONTROLLO DELLA GIORNATA DEL POST","Verificare filtro della giornata.","pending","","1.31.0"
"U0180","10. CONTROLLO DELLA GIORNATA DEL POST","Verificare che il post non compaia nel giorno sbagliato.","pending","","1.31.0"
"U0181","10. CONTROLLO DELLA GIORNATA DEL POST","Aprire “Aggiungi ricordo” direttamente dall’itinerario.","pending","","1.31.0"
"U0182","10. CONTROLLO DELLA GIORNATA DEL POST","Verificare giornata già selezionata.","pending","","1.31.0"
"U0183","10. CONTROLLO DELLA GIORNATA DEL POST","Tornare indietro.","pending","","1.31.0"
"U0184","10. CONTROLLO DELLA GIORNATA DEL POST","Verificare mantenimento della giornata.","pending","","1.31.0"
"U0185","10. CONTROLLO DELLA GIORNATA DEL POST","Provare una data precedente al viaggio.","pending","","1.31.0"
"U0186","10. CONTROLLO DELLA GIORNATA DEL POST","Provare una data successiva al viaggio.","pending","","1.31.0"
"U0187","11. PULSANTI FOTOCAMERA E GALLERIA","Aprire la fotocamera.","pending","","1.31.0"
"U0188","11. PULSANTI FOTOCAMERA E GALLERIA","Autorizzare il permesso.","pending","","1.31.0"
"U0189","11. PULSANTI FOTOCAMERA E GALLERIA","Negare il permesso.","pending","","1.31.0"
"U0190","11. PULSANTI FOTOCAMERA E GALLERIA","Scattare una fotografia.","pending","","1.31.0"
"U0191","11. PULSANTI FOTOCAMERA E GALLERIA","Annullare lo scatto.","pending","","1.31.0"
"U0192","11. PULSANTI FOTOCAMERA E GALLERIA","Ripetere lo scatto.","pending","","1.31.0"
"U0193","11. PULSANTI FOTOCAMERA E GALLERIA","Verificare anteprima.","passed","Playwright mobile: anteprima separata di foto, video WebM con audio e WAV; preview b4f2cf13; 2026-08-04","1.31.0"
"U0194","11. PULSANTI FOTOCAMERA E GALLERIA","Aprire la galleria.","pending","","1.31.0"
"U0195","11. PULSANTI FOTOCAMERA E GALLERIA","Selezionare una fotografia.","passed","Playwright mobile: JPEG reale selezionato e pubblicato; preview b4f2cf13; 2026-08-04","1.31.0"
"U0196","11. PULSANTI FOTOCAMERA E GALLERIA","Selezionare più fotografie.","passed","Playwright mobile: selezione simultanea di 10 JPEG e conteggio esatto; preview b4f2cf13; 2026-08-04","1.31.0"
"U0197","11. PULSANTI FOTOCAMERA E GALLERIA","Selezionare HEIC.","pending","","1.31.0"
"U0198","11. PULSANTI FOTOCAMERA E GALLERIA","Selezionare HEIF.","pending","","1.31.0"
"U0199","11. PULSANTI FOTOCAMERA E GALLERIA","Selezionare PNG.","pending","","1.31.0"
"U0200","11. PULSANTI FOTOCAMERA E GALLERIA","Selezionare un video MOV.","pending","","1.31.0"
"U0201","11. PULSANTI FOTOCAMERA E GALLERIA","Selezionare un video MP4.","pending","","1.31.0"
"U0202","11. PULSANTI FOTOCAMERA E GALLERIA","Selezionare un file non supportato.","pending","","1.31.0"
"U0203","11. PULSANTI FOTOCAMERA E GALLERIA","Verificare messaggio preciso.","pending","","1.31.0"
"U0204","11. PULSANTI FOTOCAMERA E GALLERIA","Verificare nome file.","pending","","1.31.0"
"U0205","11. PULSANTI FOTOCAMERA E GALLERIA","Verificare dimensione.","pending","","1.31.0"
"U0206","11. PULSANTI FOTOCAMERA E GALLERIA","Verificare tipo.","pending","","1.31.0"
"U0207","11. PULSANTI FOTOCAMERA E GALLERIA","Riprodurre video.","pending","","1.31.0"
"U0208","11. PULSANTI FOTOCAMERA E GALLERIA","Aprire fotografia.","pending","","1.31.0"
"U0209","11. PULSANTI FOTOCAMERA E GALLERIA","Rimuovere un allegato.","pending","","1.31.0"
"U0210","11. PULSANTI FOTOCAMERA E GALLERIA","Rimuovere il primo.","pending","","1.31.0"
"U0211","11. PULSANTI FOTOCAMERA E GALLERIA","Rimuovere l’ultimo.","pending","","1.31.0"
"U0212","11. PULSANTI FOTOCAMERA E GALLERIA","Aggiungere nuovamente un file rimosso.","pending","","1.31.0"
"U0213","11. PULSANTI FOTOCAMERA E GALLERIA","Verificare conteggio corretto.","passed","Playwright mobile: 3 allegati e limite esatto di 10; undicesimo rifiutato senza perdere i primi 10; preview b4f2cf13; 2026-08-04","1.31.0"
"U0214","12. PULSANTE REGISTRA AUDIO","Aprire il registratore.","pending","","1.31.0"
