"id","section","control","status","evidence","revision"
"A0027","A3. CONTROLLO DI COERENZA TRA INTERFACCIA E SERVER","il tasto deve essere attivo;","pending","","1.31.0"
"A0028","A3. CONTROLLO DI COERENZA TRA INTERFACCIA E SERVER","il clic deve inviare la richiesta corretta;","passed","Authenticated remote QA + mobile publication; preview a018a091; 2026-08-04","1.31.0"
"A0029","A3. CONTROLLO DI COERENZA TRA INTERFACCIA E SERVER","il server deve autorizzare la richiesta;","passed","Authenticated remote QA + mobile publication; preview a018a091; 2026-08-04","1.31.0"
"A0030","A3. CONTROLLO DI COERENZA TRA INTERFACCIA E SERVER","il database deve registrare il risultato;","passed","Authenticated remote QA + mobile publication; preview a018a091; 2026-08-04","1.31.0"
"A0031","A3. CONTROLLO DI COERENZA TRA INTERFACCIA E SERVER","l’interfaccia deve mostrare il risultato.","passed","Authenticated remote QA + mobile publication; preview a018a091; 2026-08-04","1.31.0"
"A0032","A3. CONTROLLO DI COERENZA TRA INTERFACCIA E SERVER","il tasto deve essere nascosto oppure chiaramente disabilitato;","pending","","1.31.0"
"A0033","A3. CONTROLLO DI COERENZA TRA INTERFACCIA E SERVER","il server deve rifiutare comunque la richiesta diretta;","passed","Authenticated remote QA + mobile publication; preview a018a091; 2026-08-04","1.31.0"
"A0034","A3. CONTROLLO DI COERENZA TRA INTERFACCIA E SERVER","il database non deve essere modificato;","passed","Authenticated remote QA + mobile publication; preview a018a091; 2026-08-04","1.31.0"
"A0035","A3. CONTROLLO DI COERENZA TRA INTERFACCIA E SERVER","nessun file deve essere creato;","pending","","1.31.0"
"A0036","A3. CONTROLLO DI COERENZA TRA INTERFACCIA E SERVER","nessuna notifica deve essere inviata;","pending","","1.31.0"
"A0037","A3. CONTROLLO DI COERENZA TRA INTERFACCIA E SERVER","l’evento deve essere registrato nel log di sicurezza.","pending","","1.31.0"
"A0038","A3. CONTROLLO DI COERENZA TRA INTERFACCIA E SERVER","confrontare tutti i tasti visibili per il Pubblico con gli endpoint accessibili al Pubblico;","pending","","1.31.0"
"A0039","A3. CONTROLLO DI COERENZA TRA INTERFACCIA E SERVER","confrontare tutti i tasti visibili al Familiare con gli endpoint accessibili al Familiare;","pending","","1.31.0"
"A0040","A3. CONTROLLO DI COERENZA TRA INTERFACCIA E SERVER","confrontare tutti i tasti visibili al Viaggiatore con gli endpoint accessibili al Viaggiatore;","pending","","1.31.0"
"A0041","A3. CONTROLLO DI COERENZA TRA INTERFACCIA E SERVER","confrontare tutti i tasti visibili al Coordinatore con gli endpoint accessibili al Coordinatore;","pending","","1.31.0"
"A0042","A3. CONTROLLO DI COERENZA TRA INTERFACCIA E SERVER","segnalare automaticamente ogni differenza.","pending","","1.31.0"
"A0043","A4. MACCHINA DEGLI STATI DELLE CREDENZIALI","etichetta di accesso mostrata;","pending","","1.31.0"
"A0044","A4. MACCHINA DEGLI STATI DELLE CREDENZIALI","identità mostrata;","pending","","1.31.0"
"A0045","A4. MACCHINA DEGLI STATI DELLE CREDENZIALI","ruolo mostrato;","pending","","1.31.0"
"A0046","A4. MACCHINA DEGLI STATI DELLE CREDENZIALI","tasti visibili;","pending","","1.31.0"
"A0047","A4. MACCHINA DEGLI STATI DELLE CREDENZIALI","tasti nascosti;","pending","","1.31.0"
"A0048","A4. MACCHINA DEGLI STATI DELLE CREDENZIALI","endpoint autorizzati;","pending","","1.31.0"
"A0049","A4. MACCHINA DEGLI STATI DELLE CREDENZIALI","comportamento al ricaricamento;","pending","","1.31.0"
"A0050","A4. MACCHINA DEGLI STATI DELLE CREDENZIALI","comportamento dopo riapertura;","pending","","1.31.0"
"A0051","A4. MACCHINA DEGLI STATI DELLE CREDENZIALI","comportamento dopo ritorno online;","pending","","1.31.0"
"A0052","A4. MACCHINA DEGLI STATI DELLE CREDENZIALI","messaggio mostrato all’utilizzatore.","pending","","1.31.0"
"A0053","A5. PRECEDENZA TRA PASSWORD E SESSIONE","password di gruppo e sessione Viaggiatore;","passed","Playwright credential precedence 4/4; preview 06eec926; 2026-08-04","1.31.0"
"A0054","A5. PRECEDENZA TRA PASSWORD E SESSIONE","password di gruppo e sessione Coordinatore;","pending","","1.31.0"
"A0055","A5. PRECEDENZA TRA PASSWORD E SESSIONE","password di gruppo e sessione scaduta;","pending","","1.31.0"
"A0056","A5. PRECEDENZA TRA PASSWORD E SESSIONE","vecchio profile_id e nuova sessione;","passed","Playwright credential precedence 4/4; preview 06eec926; 2026-08-04","1.31.0"
"A0057","A5. PRECEDENZA TRA PASSWORD E SESSIONE","vecchio nome locale e nuova sessione;","passed","Playwright credential precedence 4/4; preview 06eec926; 2026-08-04","1.31.0"
"A0058","A5. PRECEDENZA TRA PASSWORD E SESSIONE","sessione A e dati locali del profilo B.","passed","Playwright credential precedence 4/4; preview 06eec926; 2026-08-04","1.31.0"
"A0059","A5. PRECEDENZA TRA PASSWORD E SESSIONE","l’identità server della sessione prevale sempre sui dati modificabili del browser;","passed","Authenticated remote QA + mobile publication; preview a018a091; 2026-08-04","1.31.0"
"A0060","A5. PRECEDENZA TRA PASSWORD E SESSIONE","il ruolo restituito dal server prevale sempre sul ruolo locale;","passed","Playwright credential precedence 4/4; preview 06eec926; 2026-08-04","1.31.0"
"A0061","A5. PRECEDENZA TRA PASSWORD E SESSIONE","profile_id della sessione prevale sempre sul profile_id del localStorage;","passed","Authenticated remote QA + mobile publication; preview a018a091; 2026-08-04","1.31.0"
"A0062","A5. PRECEDENZA TRA PASSWORD E SESSIONE","il nome dell’autore viene determinato dal server;","passed","Authenticated remote QA + mobile publication; preview a018a091; 2026-08-04","1.31.0"
"A0063","A5. PRECEDENZA TRA PASSWORD E SESSIONE","la password comune non aumenta i privilegi di una sessione personale;","passed","Playwright credential precedence 4/4; preview 06eec926; 2026-08-04","1.31.0"
"A0064","A5. PRECEDENZA TRA PASSWORD E SESSIONE","una sessione scaduta non viene recuperata utilizzando silenziosamente un vecchio profilo locale;","pending","","1.31.0"
"A0065","A5. PRECEDENZA TRA PASSWORD E SESSIONE","nessun utente può risultare contemporaneamente Viaggiatore A e Viaggiatore B.","passed","Playwright credential precedence 4/4; preview 06eec926; 2026-08-04","1.31.0"
"A0066","A6. CONTAMINAZIONE DELL’IDENTITÀ SULLO STESSO TELEFONO","accedere come Viaggiatore A;","passed","Playwright same-device identity switch 5/5; preview 39b1fb83; 2026-08-04","1.31.0"
"A0067","A6. CONTAMINAZIONE DELL’IDENTITÀ SULLO STESSO TELEFONO","utilizzare l’app;","passed","Playwright same-device identity switch 5/5; preview 39b1fb83; 2026-08-04","1.31.0"
"A0068","A6. CONTAMINAZIONE DELL’IDENTITÀ SULLO STESSO TELEFONO","eseguire logout;","passed","Playwright same-device identity switch 5/5; preview 39b1fb83; 2026-08-04","1.31.0"
"A0069","A6. CONTAMINAZIONE DELL’IDENTITÀ SULLO STESSO TELEFONO","accedere come Viaggiatore B;","pending","","1.31.0"
"A0070","A6. CONTAMINAZIONE DELL’IDENTITÀ SULLO STESSO TELEFONO","controllare tutti i dati mostrati.","pending","","1.31.0"
"A0071","A6. CONTAMINAZIONE DELL’IDENTITÀ SULLO STESSO TELEFONO","nome;","passed","Playwright same-device identity switch 5/5; preview 39b1fb83; 2026-08-04","1.31.0"
"A0072","A6. CONTAMINAZIONE DELL’IDENTITÀ SULLO STESSO TELEFONO","fotografia;","pending","","1.31.0"
"A0073","A6. CONTAMINAZIONE DELL’IDENTITÀ SULLO STESSO TELEFONO","profile_id;","passed","Playwright same-device identity switch 5/5; preview 39b1fb83; 2026-08-04","1.31.0"
"A0074","A6. CONTAMINAZIONE DELL’IDENTITÀ SULLO STESSO TELEFONO","bozze personali;","pending","","1.31.0"
"A0075","A6. CONTAMINAZIONE DELL’IDENTITÀ SULLO STESSO TELEFONO","documenti;","pending","","1.31.0"
"A0076","A6. CONTAMINAZIONE DELL’IDENTITÀ SULLO STESSO TELEFONO","posizione;","pending","","1.31.0"
"A0077","A6. CONTAMINAZIONE DELL’IDENTITÀ SULLO STESSO TELEFONO","preferiti;","pending","","1.31.0"
"A0078","A6. CONTAMINAZIONE DELL’IDENTITÀ SULLO STESSO TELEFONO","notifiche non lette;","pending","","1.31.0"
"A0079","A6. CONTAMINAZIONE DELL’IDENTITÀ SULLO STESSO TELEFONO","autorizzazioni;","passed","Playwright same-device identity switch 5/5; preview 39b1fb83; 2026-08-04","1.31.0"
"A0080","A6. CONTAMINAZIONE DELL’IDENTITÀ SULLO STESSO TELEFONO","menu del ruolo;","passed","Playwright same-device identity switch 5/5; preview 39b1fb83; 2026-08-04","1.31.0"
"A0081","A6. CONTAMINAZIONE DELL’IDENTITÀ SULLO STESSO TELEFONO","link personali;","pending","","1.31.0"
"A0082","A6. CONTAMINAZIONE DELL’IDENTITÀ SULLO STESSO TELEFONO","dati privati nella cache.","passed","Public-cache unit + delayed-state Playwright 6/6; preview 63b53987; 2026-08-04","1.31.0"
"A0083","A6. CONTAMINAZIONE DELL’IDENTITÀ SULLO STESSO TELEFONO","da Viaggiatore a Coordinatore;","passed","Playwright same-device identity switch 5/5; preview 39b1fb83; 2026-08-04","1.31.0"
"A0084","A6. CONTAMINAZIONE DELL’IDENTITÀ SULLO STESSO TELEFONO","da Coordinatore a Viaggiatore;","pending","","1.31.0"
"A0085","A6. CONTAMINAZIONE DELL’IDENTITÀ SULLO STESSO TELEFONO","da Viaggiatore a Pubblico;","passed","Playwright same-device identity switch 5/5; preview 39b1fb83; 2026-08-04","1.31.0"
"A0086","A6. CONTAMINAZIONE DELL’IDENTITÀ SULLO STESSO TELEFONO","da Coordinatore a Pubblico;","pending","","1.31.0"
"A0087","A6. CONTAMINAZIONE DELL’IDENTITÀ SULLO STESSO TELEFONO","da Familiare a Viaggiatore.","passed","Playwright same-device identity switch 5/5; preview 39b1fb83; 2026-08-04","1.31.0"
"A0088","A7. CAMBIO DI RUOLO DURANTE UNA SESSIONE APERTA","Accedere come Viaggiatore.","passed","Playwright live role/revoke 1/1; preview a4b05356; 2026-08-04","1.31.0"
"A0089","A7. CAMBIO DI RUOLO DURANTE UNA SESSIONE APERTA","Lasciare l’app aperta.","passed","Playwright live role/revoke 1/1; preview a4b05356; 2026-08-04","1.31.0"
"A0090","A7. CAMBIO DI RUOLO DURANTE UNA SESSIONE APERTA","Promuovere l’utente a Coordinatore da un altro dispositivo.","passed","Playwright live role/revoke 1/1; preview a4b05356; 2026-08-04","1.31.0"
"A0091","A7. CAMBIO DI RUOLO DURANTE UNA SESSIONE APERTA","Verificare aggiornamento della sessione.","passed","Playwright live role/revoke 1/1; preview a4b05356; 2026-08-04","1.31.0"
"A0092","A7. CAMBIO DI RUOLO DURANTE UNA SESSIONE APERTA","Verificare comparsa dei nuovi comandi soltanto dopo conferma server.","passed","Playwright live role/revoke 1/1; preview a4b05356; 2026-08-04","1.31.0"
"A0093","A7. CAMBIO DI RUOLO DURANTE UNA SESSIONE APERTA","Verificare che non sia necessario cancellare manualmente la cache.","passed","Playwright live role/revoke 1/1; preview a4b05356; 2026-08-04","1.31.0"
"A0094","A7. CAMBIO DI RUOLO DURANTE UNA SESSIONE APERTA","Accedere come Coordinatore.","passed","Playwright live role/revoke 1/1; preview a4b05356; 2026-08-04","1.31.0"
"A0095","A7. CAMBIO DI RUOLO DURANTE UNA SESSIONE APERTA","Lasciare aperta la dashboard.","pending","","1.31.0"
"A0096","A7. CAMBIO DI RUOLO DURANTE UNA SESSIONE APERTA","Cambiare il ruolo in Viaggiatore.","passed","Playwright live role/revoke 1/1; preview a4b05356; 2026-08-04","1.31.0"
"A0097","A7. CAMBIO DI RUOLO DURANTE UNA SESSIONE APERTA","Verificare scomparsa immediata dei comandi da Coordinatore.","passed","Playwright live role/revoke 1/1; preview a4b05356; 2026-08-04","1.31.0"
"A0098","A7. CAMBIO DI RUOLO DURANTE UNA SESSIONE APERTA","Tentare di utilizzare un tasto rimasto aperto.","passed","Playwright stale commands rejected 403; preview a4b05356; 2026-08-04","1.31.0"
"A0099","A7. CAMBIO DI RUOLO DURANTE UNA SESSIONE APERTA","Risultato atteso: richiesta rifiutata.","passed","Playwright stale commands rejected 403; preview a4b05356; 2026-08-04","1.31.0"
"A0100","A7. CAMBIO DI RUOLO DURANTE UNA SESSIONE APERTA","Verificare impossibilità di utilizzare la cronologia del browser per tornare nella dashboard autorizzata.","pending","","1.31.0"
"A0101","A7. CAMBIO DI RUOLO DURANTE UNA SESSIONE APERTA","Revocare il dispositivo mentre è aperta una finestra privata.","passed","Playwright live role/revoke 1/1; preview a4b05356; 2026-08-04","1.31.0"
"A0102","A7. CAMBIO DI RUOLO DURANTE UNA SESSIONE APERTA","Utilizzare un comando già visibile.","passed","Playwright stale commands rejected 403; preview a4b05356; 2026-08-04","1.31.0"
"A0103","A7. CAMBIO DI RUOLO DURANTE UNA SESSIONE APERTA","Verificare rifiuto immediato.","passed","Playwright stale commands rejected 403; preview a4b05356; 2026-08-04","1.31.0"
"A0104","A7. CAMBIO DI RUOLO DURANTE UNA SESSIONE APERTA","Chiudere automaticamente i dati privati già mostrati.","passed","Playwright live role/revoke 1/1; preview a4b05356; 2026-08-04","1.31.0"
"A0105","A8. CONTROLLO DELLA PROPRIETÀ DELLE RISORSE","sessione A sulla risorsa A;","passed","Authenticated remote QA + mobile publication; preview a018a091; 2026-08-04","1.31.0"
"A0106","A8. CONTROLLO DELLA PROPRIETÀ DELLE RISORSE","sessione A sulla risorsa B;","pending","","1.31.0"
"A0107","A8. CONTROLLO DELLA PROPRIETÀ DELLE RISORSE","sessione B sulla risorsa A;","passed","Authenticated remote QA + mobile publication; preview a018a091; 2026-08-04","1.31.0"
"A0108","A8. CONTROLLO DELLA PROPRIETÀ DELLE RISORSE","Coordinatore sulla risorsa A;","pending","","1.31.0"
"A0109","A8. CONTROLLO DELLA PROPRIETÀ DELLE RISORSE","Pubblico sulla risorsa A;","passed","Authenticated remote QA + mobile publication; preview a018a091; 2026-08-04","1.31.0"
"A0110","A8. CONTROLLO DELLA PROPRIETÀ DELLE RISORSE","token scaduto sulla risorsa A;","passed","Authenticated remote QA + mobile publication; preview a018a091; 2026-08-04","1.31.0"
"A0111","A8. CONTROLLO DELLA PROPRIETÀ DELLE RISORSE","token revocato sulla risorsa A;","passed","Live revoke command 403 + authenticated remote QA 20/20; preview a4b05356; 2026-08-04","1.31.0"
"A0112","A8. CONTROLLO DELLA PROPRIETÀ DELLE RISORSE","identificativo della risorsa modificato manualmente.","passed","Authenticated ownership/id tampering QA 20/20; preview a4b05356; 2026-08-04","1.31.0"
"A0113","A8. CONTROLLO DELLA PROPRIETÀ DELLE RISORSE","prima della lettura;","passed","Authenticated remote QA + mobile publication; preview a018a091; 2026-08-04","1.31.0"
"A0114","A8. CONTROLLO DELLA PROPRIETÀ DELLE RISORSE","prima della modifica;","passed","Authenticated remote QA + mobile publication; preview a018a091; 2026-08-04","1.31.0"
"A0115","A8. CONTROLLO DELLA PROPRIETÀ DELLE RISORSE","prima dell’eliminazione;","passed","Authenticated remote QA + mobile publication; preview a018a091; 2026-08-04","1.31.0"
"A0116","A8. CONTROLLO DELLA PROPRIETÀ DELLE RISORSE","prima del download;","passed","Authenticated remote QA + mobile publication; preview a018a091; 2026-08-04","1.31.0"
"A0117","A8. CONTROLLO DELLA PROPRIETÀ DELLE RISORSE","prima dell’invio della notifica;","pending","","1.31.0"
"A0118","A8. CONTROLLO DELLA PROPRIETÀ DELLE RISORSE","prima di restituire qualsiasi metadato.","passed","API pubblica minimizzata + Playwright tre telefoni: chiavi e ID interni assenti, permessi can_manage dal server, comandi vietati nascosti e sync automatica; preview c9d82d89; 2026-08-04","1.31.0"
"A0119","A9. ACCESSO DIRETTO A SCHERMATE E URL","area documenti;","pending","","1.31.0"
"A0120","A9. ACCESSO DIRETTO A SCHERMATE E URL","dashboard Coordinatore;","pending","","1.31.0"
"A0121","A9. ACCESSO DIRETTO A SCHERMATE E URL","profilo di un’altra persona;","pending","","1.31.0"
"A0122","A9. ACCESSO DIRETTO A SCHERMATE E URL","posizione del gruppo;","pending","","1.31.0"
"A0123","A9. ACCESSO DIRETTO A SCHERMATE E URL","post non pubblico;","pending","","1.31.0"
"A0124","A9. ACCESSO DIRETTO A SCHERMATE E URL","commento non pubblico;","pending","","1.31.0"
"A0125","A9. ACCESSO DIRETTO A SCHERMATE E URL","documento privato;","pending","","1.31.0"
"A0126","A9. ACCESSO DIRETTO A SCHERMATE E URL","collegamento di invito già utilizzato;","pending","","1.31.0"
"A0127","A9. ACCESSO DIRETTO A SCHERMATE E URL","collegamento salvato prima del logout;","pending","","1.31.0"
"A0128","A9. ACCESSO DIRETTO A SCHERMATE E URL","collegamento ricevuto da un altro utente.","pending","","1.31.0"
"A0129","A9. ACCESSO DIRETTO A SCHERMATE E URL","Pubblico;","pending","","1.31.0"
"A0130","A9. ACCESSO DIRETTO A SCHERMATE E URL","Familiare;","pending","","1.31.0"
"A0131","A9. ACCESSO DIRETTO A SCHERMATE E URL","Viaggiatore proprietario;","pending","","1.31.0"
"A0132","A9. ACCESSO DIRETTO A SCHERMATE E URL","Viaggiatore non proprietario;","pending","","1.31.0"
"A0133","A9. ACCESSO DIRETTO A SCHERMATE E URL","Coordinatore;","pending","","1.31.0"
"A0134","A9. ACCESSO DIRETTO A SCHERMATE E URL","sessione scaduta;","pending","","1.31.0"
"A0135","A9. ACCESSO DIRETTO A SCHERMATE E URL","sessione revocata.","pending","","1.31.0"
"A0136","A9. ACCESSO DIRETTO A SCHERMATE E URL","controllo server prima del caricamento;","pending","","1.31.0"
"A0137","A9. ACCESSO DIRETTO A SCHERMATE E URL","nessuna visualizzazione momentanea di dati privati;","pending","","1.31.0"
"A0138","A9. ACCESSO DIRETTO A SCHERMATE E URL","nessun titolo o nome sensibile mostrato prima del 403;","pending","","1.31.0"
"A0139","A9. ACCESSO DIRETTO A SCHERMATE E URL","ritorno a una schermata sicura;","pending","","1.31.0"
"A0140","A9. ACCESSO DIRETTO A SCHERMATE E URL","messaggio comprensibile.","pending","","1.31.0"
"A0141","A10. RISPOSTA MINIMA DEL SERVER IN BASE AL RUOLO","riceve soltanto campi pubblici;","passed","Authenticated remote QA + mobile publication; preview a018a091; 2026-08-04","1.31.0"
"A0142","A10. RISPOSTA MINIMA DEL SERVER IN BASE AL RUOLO","non riceve ruoli amministrativi non necessari;","pending","","1.31.0"
"A0143","A10. RISPOSTA MINIMA DEL SERVER IN BASE AL RUOLO","non riceve dati dei documenti;","passed","Authenticated remote QA + mobile publication; preview a018a091; 2026-08-04","1.31.0"
"A0144","A10. RISPOSTA MINIMA DEL SERVER IN BASE AL RUOLO","non riceve posizioni private;","passed","Authenticated remote QA + mobile publication; preview a018a091; 2026-08-04","1.31.0"
"A0145","A10. RISPOSTA MINIMA DEL SERVER IN BASE AL RUOLO","non riceve identificativi interni non necessari.","pending","","1.31.0"
"A0146","A10. RISPOSTA MINIMA DEL SERVER IN BASE AL RUOLO","riceve soltanto contenuti autorizzati ai familiari;","passed","Authenticated remote QA + mobile publication; preview a018a091; 2026-08-04","1.31.0"
"A0147","A10. RISPOSTA MINIMA DEL SERVER IN BASE AL RUOLO","non riceve dati del gruppo riservato;","passed","Authenticated remote QA + mobile publication; preview a018a091; 2026-08-04","1.31.0"
"A0148","A10. RISPOSTA MINIMA DEL SERVER IN BASE AL RUOLO","non riceve documenti;","passed","Authenticated remote QA + mobile publication; preview a018a091; 2026-08-04","1.31.0"
"A0149","A10. RISPOSTA MINIMA DEL SERVER IN BASE AL RUOLO","non riceve sessioni o inviti altrui.","passed","Authenticated remote QA + mobile publication; preview a018a091; 2026-08-04","1.31.0"
"A0150","A10. RISPOSTA MINIMA DEL SERVER IN BASE AL RUOLO","riceve soltanto i propri documenti;","passed","Authenticated remote QA + mobile publication; preview a018a091; 2026-08-04","1.31.0"
"A0151","A10. RISPOSTA MINIMA DEL SERVER IN BASE AL RUOLO","riceve soltanto le posizioni consentite;","passed","Playwright tre ruoli: gruppo autenticato riceve la posizione, pubblico non riceve lista né mappa; preview 20382a40; 2026-08-04","1.31.0"
"A0152","A10. RISPOSTA MINIMA DEL SERVER IN BASE AL RUOLO","non riceve dati amministrativi del Coordinatore;","passed","Authenticated remote QA + mobile publication; preview a018a091; 2026-08-04","1.31.0"
"A0153","A10. RISPOSTA MINIMA DEL SERVER IN BASE AL RUOLO","non riceve log non autorizzati.","passed","Authenticated remote QA + mobile publication; preview a018a091; 2026-08-04","1.31.0"
"A0154","A10. RISPOSTA MINIMA DEL SERVER IN BASE AL RUOLO","riceve esclusivamente le informazioni necessarie al coordinamento;","pending","","1.31.0"
"A0155","A10. RISPOSTA MINIMA DEL SERVER IN BASE AL RUOLO","non riceve token o segreti;","pending","","1.31.0"
"A0156","A10. RISPOSTA MINIMA DEL SERVER IN BASE AL RUOLO","non riceve dati cancellati.","pending","","1.31.0"
"A0157","A11. CONTRATTO DI FUNZIONAMENTO DI OGNI TASTO","normale;","pending","","1.31.0"
"A0158","A11. CONTRATTO DI FUNZIONAMENTO DI OGNI TASTO","puntato;","pending","","1.31.0"
"A0159","A11. CONTRATTO DI FUNZIONAMENTO DI OGNI TASTO","premuto;","pending","","1.31.0"
"A0160","A11. CONTRATTO DI FUNZIONAMENTO DI OGNI TASTO","attivo;","pending","","1.31.0"
"A0161","A11. CONTRATTO DI FUNZIONAMENTO DI OGNI TASTO","disabilitato;","pending","","1.31.0"
"A0162","A11. CONTRATTO DI FUNZIONAMENTO DI OGNI TASTO","caricamento;","pending","","1.31.0"
"A0163","A11. CONTRATTO DI FUNZIONAMENTO DI OGNI TASTO","operazione riuscita;","pending","","1.31.0"
"A0164","A11. CONTRATTO DI FUNZIONAMENTO DI OGNI TASTO","operazione fallita;","pending","","1.31.0"
"A0165","A11. CONTRATTO DI FUNZIONAMENTO DI OGNI TASTO","rete assente;","pending","","1.31.0"
"A0166","A11. CONTRATTO DI FUNZIONAMENTO DI OGNI TASTO","sessione scaduta;","pending","","1.31.0"
"A0167","A11. CONTRATTO DI FUNZIONAMENTO DI OGNI TASTO","autorizzazione negata;","pending","","1.31.0"
"A0168","A11. CONTRATTO DI FUNZIONAMENTO DI OGNI TASTO","operazione già eseguita.","pending","","1.31.0"
"A0169","A11. CONTRATTO DI FUNZIONAMENTO DI OGNI TASTO","il primo tocco viene rilevato;","passed","Playwright Galaxy S9+: invito e sessione server, modale sopra barra, pulsante raggiungibile, stato disabilitato/invio, doppio clic=una richiesta, HTTP 201 e record confermato; preview 9913ac2c; 2026-08-04","1.31.0"
"A0170","A11. CONTRATTO DI FUNZIONAMENTO DI OGNI TASTO","un tocco prolungato non genera operazioni impreviste;","pending","","1.31.0"
"A0171","A11. CONTRATTO DI FUNZIONAMENTO DI OGNI TASTO","un doppio tocco non duplica l’operazione;","passed","Playwright Galaxy S9+: invito e sessione server, modale sopra barra, pulsante raggiungibile, stato disabilitato/invio, doppio clic=una richiesta, HTTP 201 e record confermato; preview 9913ac2c; 2026-08-04","1.31.0"
"A0172","A11. CONTRATTO DI FUNZIONAMENTO DI OGNI TASTO","dieci tocchi rapidi non generano dieci richieste;","pending","","1.31.0"
"A0173","A11. CONTRATTO DI FUNZIONAMENTO DI OGNI TASTO","il tasto disabilitato non genera richieste;","passed","Playwright Galaxy S9+: invito e sessione server, modale sopra barra, pulsante raggiungibile, stato disabilitato/invio, doppio clic=una richiesta, HTTP 201 e record confermato; preview 9913ac2c; 2026-08-04","1.31.0"
